"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
2008-09-06,"London Irish","Wasps",26,14,"Home",NA,NA,0,1
2008-09-06,"Saracens","Harlequins",21,24,"Away",NA,NA,0,1
2008-09-07,"Northampton Saints","Worcester Warriors",21,13,"Home",NA,NA,0,1
2008-09-07,"Bristol","Bath",20,33,"Away",NA,NA,0,1
2008-09-07,"Newcastle Falcons","Sale Sharks",9,14,"Away",NA,NA,0,1
2008-09-07,"Gloucester","Leicester Tigers",8,20,"Away",NA,NA,0,1
2008-09-12,"Bath","Gloucester",17,21,"Away",NA,NA,0,1
2008-09-12,"Sale Sharks","Saracens",18,15,"Home",NA,NA,0,1
2008-09-13,"Wasps","Worcester Warriors",10,11,"Away",NA,NA,0,1
2008-09-13,"Leicester Tigers","London Irish",24,22,"Home",NA,NA,0,1
2008-09-13,"Harlequins","Bristol",31,13,"Home",NA,NA,0,1
2008-09-14,"Newcastle Falcons","Northampton Saints",32,22,"Home",NA,NA,0,1
2008-09-19,"Bristol","Sale Sharks",6,9,"Away",NA,NA,0,1
2008-09-20,"Worcester Warriors","Leicester Tigers",17,19,"Away",NA,NA,0,1
2008-09-20,"Northampton Saints","Wasps",24,20,"Home",NA,NA,0,1
2008-09-20,"London Irish","Bath",16,20,"Away",NA,NA,0,1
2008-09-20,"Gloucester","Harlequins",24,20,"Home",NA,NA,0,1
2008-09-21,"Saracens","Newcastle Falcons",44,14,"Home",NA,NA,0,1
2008-09-26,"Sale Sharks","Gloucester",23,9,"Home",NA,NA,0,1
2008-09-26,"Newcastle Falcons","Bristol",17,3,"Home",NA,NA,0,1
2008-09-26,"Leicester Tigers","Wasps",19,28,"Away",NA,NA,0,1
2008-09-27,"Bath","Worcester Warriors",37,19,"Home",NA,NA,0,1
2008-09-27,"Saracens","Northampton Saints",26,12,"Home",NA,NA,0,1
2008-09-27,"Harlequins","London Irish",27,28,"Away",NA,NA,0,1
2008-09-30,"Gloucester","Newcastle Falcons",39,23,"Home",NA,NA,0,1
2008-10-01,"Wasps","Bath",23,27,"Away",NA,NA,0,1
